中国|1||0
黑龙江省|2|1|1
大兴安岭地区|38|2|2
黑河市|39|2|2
伊春市|40|2|2
齐齐哈尔市|41|2|2
佳木斯市|42|2|2
鹤岗市|43|2|2
绥化市|44|2|2
双鸭山市|45|2|2
鸡西市|46|2|2
七台河市|47|2|2
哈尔滨市|48|2|2
牡丹江市|49|2|2
大庆市|50|2|2
甘肃省|6|1|1
嘉峪关市|33|6|2
金昌市|34|6|2
白银市|35|6|2
兰州市|36|6|2
酒泉市|37|6|2
张掖市|117|6|2
武威市|118|6|2
庆阳市|135|6|2
定西市|136|6|2
临夏回族自治州|182|6|2
天水市|196|6|2
甘南藏族自治州|247|6|2
陇南市|256|6|2
平凉市|359|6|2
广东省|7|1|1
东莞市|119|7|2
东沙群岛|120|7|2
韶关市|137|7|2
佛山市|138|7|2
茂名市|139|7|2
珠海市|140|7|2
梅州市|141|7|2
中山市|187|7|2
清远市|197|7|2
湛江市|198|7|2
阳江市|199|7|2
河源市|200|7|2
潮州市|201|7|2
广州市|257|7|2
云浮市|258|7|2
揭阳市|259|7|2
惠州市|301|7|2
江门市|302|7|2
汕头市|303|7|2
肇庆市|338|7|2
汕尾市|339|7|2
深圳市|340|7|2
山东省|8|1|1
莱芜市|124|8|2
枣庄市|172|8|2
日照市|173|8|2
东营市|174|8|2
威海市|175|8|2
临沂市|234|8|2
滨州市|235|8|2
青岛市|236|8|2
济宁市|286|8|2
潍坊市|287|8|2
济南市|288|8|2
泰安市|325|8|2
烟台市|326|8|2
菏泽市|353|8|2
淄博市|354|8|2
聊城市|366|8|2
德州市|372|8|2
吉林省|9|1|1
白城市|51|9|2
松原市|52|9|2
长春市|53|9|2
延边朝鲜族自治州|54|9|2
吉林市|55|9|2
四平市|56|9|2
白山市|57|9|2
通化市|165|9|2
辽源市|183|9|2
山西省|10|1|1
太原市|176|10|2
朔州市|237|10|2
晋中市|238|10|2
晋城市|290|10|2
吕梁市|327|10|2
运城市|328|10|2
大同市|355|10|2
长治市|356|10|2
阳泉市|357|10|2
忻州市|367|10|2
临汾市|368|10|2
青海省|11|1|1
海西蒙古族藏族自治州|65|11|2
西宁市|66|11|2
海北藏族自治州|67|11|2
海南藏族自治州|68|11|2
海东地区|69|11|2
黄南藏族自治州|70|11|2
玉树藏族自治州|71|11|2
果洛藏族自治州|72|11|2
新疆维吾尔自治区|12|1|1
和田地区|82|12|2
喀什地区|83|12|2
克孜勒苏柯尔克孜自治州|84|12|2
阿克苏地区|85|12|2
巴音郭楞蒙古自治州|86|12|2
博尔塔拉蒙古自治州|88|12|2
